135439,,E/ESCWA/LIB/ACQ/86/5,"List of library acquisitions :; monthly, v. 11, no. 5, Nov. 1986.",
135640,,E/ESCWA/DPD/86/7,"Studies on development problems in countries of Western Asia, 1984-1985.",http://digitallibrary.un.org/record/135640/files/E_ESCWA_DPD_86_7-EN.pdf
135892,,E/ESCWA/DPD/86/6,"Growth of development finance institutions and financial resource needs of selected ESCWA countries :; Bahrain, Jordan, Kuwait, Syrian Arab Republic, United Arab Emirates and Yemen Arab Republic.",http://digitallibrary.un.org/record/135892/files/E_ESCWA_DPD_86_6-EN.pdf
135893,,E/ESCWA/DPD/86/8,"Review of fiscal, monetary and banking developments and trends in the ESCWA region, 1985.",http://digitallibrary.un.org/record/135893/files/E_ESCWA_DPD_86_8-EN.pdf
137308,,E/ESCWA/AGR/86/4,National rangelands development project in the Hashemite Kingdom of Jordan.,http://digitallibrary.un.org/record/137308/files/E_ESCWA_AGR_86_4-EN.pdf
137390,,E/ESCWA/HS/86/1,The human settlements situation in Kuwait :; country profile.,http://digitallibrary.un.org/record/137390/files/E_ESCWA_HS_86_1-AR.pdf; http://digitallibrary.un.org/record/137390/files/E_ESCWA_HS_86_1-EN.pdf
138635,,E/ESCWA/RES/155(XIV),Strengthening of national household survey capabilities.,
138637,,E/ESCWA/RES/157(XIV),Medium-term plan of the Economic and Social Commission for Western Asia for the period 1990-1995.,
138638,,E/ESCWA/RES/158(XIV),Holding of the sessions of the Economic and Social Commission for Western Asia on a biennial basis.,
138639,,E/ESCWA/RES/159(XIV),Quorum for meetings of the Commission and its subsidiary bodies :; [ESCWA].,
138640,,E/ESCWA/RES/160(XIV),Economic and social conditions of the Palestinian people.,
138642,,E/ESCWA/RES/162(XIV),In-depth study of the United Nations intergovernmental structure and functions in the economic and social sectors.,
142346,,E/ESCWA/DPD/86/5,"Developments in the external sector of the ESCWA countries, 1975-1985.",http://digitallibrary.un.org/record/142346/files/E_ESCWA_DPD_86_5-EN.pdf
142388,,E/ESCWA/LIB/ACQ/87/1,"List of library acquisitions, v. 12, no. 1, Jan.-Feb. 1987 /; Economic and Social Commission for Western Asia, Library.",
143864,,E/ESCWA/DPD/2/Rev.1/Corr.1,"Survey of economic and social developments in the ESCWA region, 1985 :; corrigendum.",
143865,,E/ESCWA/DPD/87/4,"Survey of economic and social developments in the ESCWA region, 1986 :; summary.",http://digitallibrary.un.org/record/143865/files/E_ESCWA_DPD_87_4-AR.pdf; http://digitallibrary.un.org/record/143865/files/E_ESCWA_DPD_87_4-EN.pdf
147289,,E/ESCWA/DPD/1990/4,"The role of the Arab economy in the world economy in the 1990s :; negotiating the Arab future, June 1990.",http://digitallibrary.un.org/record/147289/files/E_ESCWA_DPD_1990_4-EN.pdf
148830,,E/ESCWA/NR/86/9,"Technology policies in the Arab States :; proceedings of a seminar organized by the United Nations Economic and Social Commission for Western Asia in co-operation with Unesco, Paris, 14-18 December 1981.",http://digitallibrary.un.org/record/148830/files/E_ESCWA_NR_86_9-EN.pdf
